index, elapse_time, susp_fl, susp_fr, susp_rl, susp_rr, acc_x, acc_y, acc_z, rot_x, rot_y, rot_z
0, 580, 36.37951, 42.91965, 52.16781, 28.20434, -0.76375, 2.74376, 9.64863, 0.00626, 0.08327, 0.03171
1, 620, 36.43061, 42.91965, 52.16781, 28.20434, -0.70030, 2.66235, 9.70729, 0.00693, 0.08220, 0.02971
2, 660, 36.43061, 42.91965, 52.16781, 28.20434, -0.71587, 2.66355, 9.61511, 0.00959, 0.07954, 0.03198
3, 700, 36.43061, 42.91965, 52.16781, 28.20434, -0.71706, 2.68031, 9.52892, 0.00973, 0.07727, 0.03584
4, 740, 36.43061, 42.91965, 52.16781, 28.20434, -0.72425, 2.70305, 9.61631, 0.00719, 0.08087, 0.03238
5, 784, 36.43061, 42.91965, 52.16781, 28.20434, -0.69911, 2.66834, 9.56484, 0.00759, 0.07874, 0.03437
6, 824, 36.43061, 42.91965, 52.16781, 28.20434, -0.72425, 2.69827, 9.58519, 0.00640, 0.08194, 0.03118
7, 864, 36.43061, 42.91965, 52.16781, 28.20434, -0.69312, 2.70545, 9.59117, 0.01146, 0.07568, 0.03384
8, 912, 36.43061, 42.91965, 52.16781, 28.20434, -0.70988, 2.68031, 9.87608, 0.00493, 0.08247, 0.03224
9, 956, 36.43061, 42.91965, 52.16781, 28.20434, -0.69671, 2.69467, 9.56484, 0.00626, 0.08220, 0.03198
10, 996, 36.43061, 42.91965, 52.16781, 28.20434, -0.75417, 2.72700, 9.64983, 0.00520, 0.08154, 0.03131
11, 1036, 36.43061, 42.91965, 52.16781, 28.20434, -0.78530, 2.71263, 9.85573, 0.00466, 0.08140, 0.03144
12, 1076, 36.43061, 42.91965, 52.16781, 28.20434, -0.71706, 2.75453, 9.48942, 0.00853, 0.07981, 0.03331
13, 1116, 36.43061, 42.91965, 52.16781, 28.20434, -0.71706, 2.67911, 9.59835, 0.01053, 0.07834, 0.03304
14, 1160, 36.43061, 42.91965, 52.16781, 28.20434, -0.69432, 2.69108, 9.63068, 0.00933, 0.08367, 0.03238
15, 1199, 36.43061, 42.91965, 52.16781, 28.20434, -0.71706, 2.69827, 9.61751, 0.00653, 0.08154, 0.03371
16, 1238, 36.43061, 42.91965, 52.16781, 28.20434, -0.71946, 2.68270, 9.63786, 0.00640, 0.07914, 0.03251
17, 1277, 36.43061, 42.91965, 52.16781, 28.20434, -0.75298, 2.68270, 9.56124, 0.00853, 0.08127, 0.03224
18, 1316, 36.43061, 42.91965, 52.16781, 28.20434, -0.69073, 2.68270, 9.59716, 0.00600, 0.07941, 0.03437
19, 1358, 36.43061, 42.91965, 52.16781, 28.20434, -0.69432, 2.70904, 9.64265, 0.00693, 0.07821, 0.03158
20, 1397, 36.43061, 42.91965, 52.16781, 28.20434, -0.84755, 2.88022, 9.76954, -0.00266, 0.08260, 0.03171
21, 1436, 36.43061, 42.91965, 52.16781, 28.20434, -0.76136, 2.68270, 9.66898, -0.00986, 0.08500, 0.02984
22, 1475, 36.43061, 42.91965, 52.16781, 28.20434, -0.76255, 2.60010, 9.57322, -0.06915, 0.11338, 0.00626
23, 1514, 36.43061, 42.91965, 52.16781, 28.20434, -0.76136, 2.60489, 9.53132, 0.01892, 0.07128, 0.03637
24, 1556, 36.43061, 42.91965, 52.16781, 28.20434, -0.60214, 2.62524, 9.73842, 0.01958, 0.07394, 0.03890
25, 1595, 36.43061, 42.91965, 52.16781, 28.20434, -0.61890, 2.57257, 9.47026, 0.00919, 0.06928, 0.03784
26, 1634, 36.43061, 42.91965, 52.16781, 28.20434, -0.73622, 2.67193, 9.67018, 0.00600, 0.07941, 0.03464
27, 1673, 36.43061, 42.91965, 52.16781, 28.20434, -0.67636, 2.66355, 9.61990, 0.00933, 0.07674, 0.03344
28, 1712, 36.43061, 42.91965, 52.16781, 28.20434, -0.67277, 2.70784, 9.62948, 0.00879, 0.08500, 0.03211
29, 1754, 36.43061, 42.91965, 52.16781, 28.20434, -0.63925, 2.68031, 9.54329, 0.01572, 0.07687, 0.03477
30, 1793, 36.43061, 42.91965, 52.16781, 28.20434, -0.62130, 2.46842, 9.39485, -0.01053, 0.07861, 0.03144
31, 1832, 36.43061, 42.91965, 52.16781, 28.20434, -0.74340, 2.63123, 9.74679, 0.00640, 0.08207, 0.03304
32, 1871, 36.43061, 42.91965, 52.16781, 28.20434, -0.73023, 2.63003, 9.43316, 0.00653, 0.08034, 0.03451
33, 1910, 36.43061, 42.91965, 52.16781, 28.20434, -0.73981, 2.70425, 9.67736, 0.00600, 0.08327, 0.03171
34, 1952, 36.43061, 42.91965, 52.16781, 28.20434, -0.72784, 2.70066, 9.60434, 0.00813, 0.07901, 0.03291
35, 1990, 36.43061, 42.91965, 52.16781, 28.20434, -0.71706, 2.67193, 9.57920, 0.00813, 0.07847, 0.03304
36, 2028, 36.43061, 42.91965, 52.16781, 28.20434, -0.73143, 2.67552, 9.62828, 0.00746, 0.08007, 0.03477
37, 2066, 36.43061, 42.91965, 52.16781, 28.20434, -0.72544, 2.70186, 9.67617, 0.00959, 0.07874, 0.03451
38, 2104, 36.43061, 42.91965, 52.16781, 28.20434, -0.68235, 2.43131, 10.15620, -0.00546, 0.06182, 0.03544
39, 2157, 36.43061, 42.91965, 52.16781, 28.20434, -0.74340, 2.66594, 9.73363, 0.01132, 0.07887, 0.03357
40, 2198, 36.43061, 42.91965, 52.16781, 28.20434, -0.71826, 2.83354, 10.90559, -0.05129, 0.06075, 0.03078
41, 2239, 36.43061, 42.91965, 52.16781, 28.20434, -0.85114, 2.70665, 9.40682, 0.01399, 0.07887, 0.03584
42, 2280, 36.43061, 42.91965, 52.16781, 28.20434, -0.80685, 2.74974, 9.65701, -0.00013, 0.08154, 0.03304
43, 2321, 36.43061, 42.91965, 52.16781, 28.20434, -0.59496, 2.75453, 8.74841, 0.02305, 0.08060, 0.03584
44, 2365, 36.43061, 42.91965, 52.16781, 28.20434, -0.65122, 2.72101, 9.21409, 0.01599, 0.08247, 0.03371
45, 2406, 36.43061, 42.91965, 52.16781, 28.20434, -0.77213, 2.65876, 9.64624, 0.00426, 0.07741, 0.03264
46, 2447, 36.43061, 42.91965, 52.16781, 28.20434, -0.75298, 2.73298, 9.64265, 0.00973, 0.08034, 0.03291
47, 2488, 36.43061, 42.91965, 52.16781, 28.20434, -0.70868, 2.68989, 9.66180, 0.00533, 0.08034, 0.03584
48, 2532, 36.43061, 42.91965, 52.16781, 28.20434, -0.68235, 2.73298, 9.58279, 0.00759, 0.08047, 0.03251
49, 2573, 36.43061, 42.91965, 52.16781, 28.20434, -0.71826, 2.64679, 9.61631, 0.00853, 0.07994, 0.03251
50, 2614, 36.43061, 42.91965, 52.16781, 28.20434, -0.68354, 2.67672, 9.64504, 0.00946, 0.07981, 0.03224
51, 2655, 36.43061, 42.91965, 52.16781, 28.20434, -0.73741, 2.72101, 9.57082, 0.00759, 0.08021, 0.03198
52, 2696, 36.43061, 42.91965, 52.16781, 28.20434, -0.68235, 2.70186, 9.63427, 0.00933, 0.08007, 0.03331
53, 2740, 36.43061, 42.91965, 52.16781, 28.20434, -0.71826, 2.67552, 9.64983, 0.00826, 0.07967, 0.03251
54, 2781, 36.43061, 42.91965, 52.16781, 28.20434, -0.74939, 2.70904, 9.63427, 0.00973, 0.08074, 0.03264
55, 2822, 36.43061, 42.91965, 52.16781, 28.25543, -0.73981, 2.69108, 9.59716, 0.00640, 0.07981, 0.03477
56, 2863, 36.43061, 42.91965, 52.16781, 28.20434, -0.70868, 2.68869, 9.65462, 0.00919, 0.07914, 0.03397
57, 2904, 36.43061, 42.91965, 52.16781, 28.20434, -0.71587, 2.67313, 9.58399, 0.00839, 0.08087, 0.03184
58, 2948, 36.43061, 42.91965, 52.16781, 28.20434, -0.73622, 2.71862, 9.58399, 0.00786, 0.07901, 0.03331
59, 2989, 36.43061, 42.91965, 52.16781, 28.20434, -0.74699, 2.68270, 9.59835, 0.00666, 0.07887, 0.03331
60, 3030, 36.43061, 42.91965, 52.16781, 28.20434, -0.71706, 2.67911, 9.65103, 0.00759, 0.08127, 0.03357
61, 3071, 36.43061, 42.91965, 52.16781, 28.20434, -0.73622, 2.68989, 9.60793, 0.00853, 0.07927, 0.03251
62, 3112, 36.43061, 42.91965, 52.16781, 28.20434, -0.70509, 2.69108, 9.59237, 0.00719, 0.07994, 0.03424
63, 3156, 36.43061, 42.91965, 52.16781, 28.20434, -0.75537, 2.69946, 9.61871, 0.00839, 0.07954, 0.03291
64, 3197, 36.43061, 42.91965, 52.16781, 28.20434, -0.70509, 2.67073, 9.56723, 0.00866, 0.08047, 0.03264
65, 3238, 36.43061, 42.91965, 52.16781, 28.20434, -0.68354, 2.63482, 9.65582, 0.00759, 0.07874, 0.03144
66, 3279, 36.43061, 42.91965, 52.16781, 28.20434, -0.71228, 2.66116, 9.58279, 0.00826, 0.07781, 0.03184
67, 3320, 36.43061, 42.91965, 52.16781, 28.20434, -0.71587, 2.69946, 9.63187, 0.00719, 0.07847, 0.03224
68, 3364, 36.43061, 42.91965, 52.16781, 28.20434, -0.73023, 2.69467, 9.65222, 0.00813, 0.07834, 0.03291
69, 3405, 36.43061, 42.91965, 52.16781, 28.20434, -0.69192, 2.69827, 9.58638, 0.00799, 0.07821, 0.03504
70, 3446, 36.43061, 42.91965, 52.16781, 28.20434, -0.69312, 2.70305, 9.62110, 0.00866, 0.08021, 0.03491
71, 3487, 36.43061, 42.91965, 52.16781, 28.20434, -0.68354, 2.68270, 9.58998, 0.00786, 0.08007, 0.03411
72, 3528, 36.43061, 42.91965, 52.16781, 28.20434, -0.69911, 2.71263, 9.65222, 0.00746, 0.07927, 0.03371
73, 3572, 36.43061, 42.91965, 52.16781, 28.20434, -0.74819, 2.65278, 9.61751, 0.00866, 0.08100, 0.03304
74, 3613, 36.43061, 42.91965, 52.16781, 28.20434, -0.78889, 2.68989, 9.75158, 0.02092, 0.07821, 0.03118
75, 3654, 36.43061, 42.91965, 52.16781, 28.20434, -0.66918, 2.59891, 9.53491, 0.00653, 0.07781, 0.03357
76, 3695, 36.43061, 42.91965, 52.16781, 28.20434, -0.66319, 2.68031, 9.63906, 0.01053, 0.07434, 0.03504
77, 3736, 36.43061, 42.91965, 52.16781, 28.20434, -0.67995, 2.69827, 9.57800, 0.01092, 0.07674, 0.03411
78, 3790, 36.43061, 42.91965, 52.16781, 28.20434, -0.71108, 2.67432, 9.61631, 0.00373, 0.08434, 0.03064
79, 3831, 36.43061, 42.91965, 52.16781, 28.20434, -0.76974, 2.65278, 9.58758, 0.00759, 0.08114, 0.03317
80, 3872, 36.43061, 42.91965, 52.16781, 28.20434, -0.75537, 2.66953, 9.61392, 0.00919, 0.07834, 0.03317
81, 3913, 36.43061, 42.91965, 52.16781, 28.20434, -0.73861, 2.70066, 9.62230, 0.00586, 0.07901, 0.03371
82, 3954, 36.43061, 42.91965, 52.16781, 28.20434, -0.68833, 2.66714, 9.63786, 0.00666, 0.07874, 0.03291
83, 4006, 36.43061, 42.91965, 52.16781, 28.20434, -0.81642, 2.77129, 9.81982, 0.02585, 0.08074, 0.03517
84, 4047, 36.43061, 42.91965, 52.16781, 28.20434, -0.82839, 2.69827, 9.76236, 0.00626, 0.08380, 0.03184
85, 4088, 36.43061, 42.91965, 52.16781, 28.20434, -0.86670, 2.70186, 9.45590, 0.01759, 0.07328, 0.03357
86, 4129, 36.43061, 42.91965, 52.16781, 28.20434, -0.73023, 2.64320, 9.71208, 0.00853, 0.08007, 0.03424
87, 4173, 36.43061, 42.91965, 52.16781, 28.20434, -0.72065, 2.71622, 9.64983, 0.00466, 0.07941, 0.03411
88, 4214, 36.43061, 42.91965, 52.16781, 28.20434, -0.69791, 2.66116, 9.62110, 0.01013, 0.07781, 0.03291
89, 4255, 36.43061, 42.91965, 52.16781, 28.20434, -0.75417, 2.63123, 9.80665, 0.00520, 0.08340, 0.03437
90, 4296, 36.43061, 42.91965, 52.16781, 28.20434, -0.72664, 2.68510, 9.53850, 0.00879, 0.07981, 0.03504
91, 4337, 36.43061, 42.91965, 52.16781, 28.20434, -0.74699, 2.70904, 9.63187, 0.00759, 0.08021, 0.03317
92, 4381, 36.43061, 42.91965, 52.16781, 28.20434, -0.70270, 2.70186, 9.50857, 0.00786, 0.07701, 0.03637
93, 4422, 36.43061, 42.91965, 52.16781, 28.20434, -0.69073, 2.83952, 10.21366, 0.00226, 0.07714, 0.03158
94, 4463, 36.43061, 42.91965, 52.16781, 28.20434, -0.69791, 2.72460, 9.62469, 0.00493, 0.08673, 0.03144
95, 4504, 36.43061, 42.91965, 52.16781, 28.20434, -0.75776, 2.62644, 9.51575, 0.00933, 0.07834, 0.03411
96, 4545, 36.43061, 42.91965, 52.16781, 28.20434, -0.70030, 2.67911, 9.66779, 0.00679, 0.08021, 0.03411
97, 4589, 36.43061, 42.91965, 52.16781, 28.20434, -0.65721, 2.73657, 9.37210, 0.00919, 0.06435, 0.03611
98, 4630, 36.43061, 42.91965, 52.16781, 28.20434, -0.75896, 2.69587, 9.47026, 0.00773, 0.07621, 0.03078
99, 4671, 36.43061, 42.91965, 52.16781, 28.20434, -0.72784, 2.71502, 9.62110, 0.00719, 0.08021, 0.03317
100, 4712, 36.43061, 42.91965, 52.16781, 28.20434, -0.70270, 2.71383, 9.62230, 0.00839, 0.07701, 0.03224
101, 4753, 36.43061, 42.91965, 52.16781, 28.20434, -0.67636, 2.65996, 9.60554, 0.00853, 0.08114, 0.03198
102, 4797, 36.43061, 42.91965, 52.16781, 28.20434, -0.76974, 2.68629, 9.55047, 0.00933, 0.08087, 0.03344
103, 4838, 36.43061, 42.91965, 52.16781, 28.20434, -0.70390, 2.67911, 9.57441, 0.00813, 0.07954, 0.03491
104, 4879, 36.43061, 42.91965, 52.16781, 28.20434, -0.71826, 2.65996, 9.62589, 0.00866, 0.07927, 0.03411
105, 4920, 36.43061, 42.91965, 52.16781, 28.20434, -0.74939, 2.69946, 9.66060, 0.00999, 0.08274, 0.03291
106, 4961, 36.43061, 42.91965, 52.16781, 28.20434, -0.75417, 2.76770, 9.58519, 0.01186, 0.07874, 0.03451
107, 5005, 36.43061, 42.91965, 52.16781, 28.20434, -0.72425, 2.69827, 9.53491, 0.00759, 0.07714, 0.03198
108, 5046, 36.43061, 42.91965, 52.16781, 28.20434, -0.72544, 2.67193, 9.62948, 0.00746, 0.08100, 0.03344
109, 5087, 36.43061, 42.91965, 52.16781, 28.20434, -0.68714, 2.65756, 9.63666, 0.00826, 0.07981, 0.03411
110, 5128, 36.43061, 42.91965, 52.16781, 28.20434, -0.70749, 2.78565, 9.56484, 0.01172, 0.07701, 0.03504
111, 5169, 36.43061, 42.91965, 52.16781, 28.20434, -0.72305, 2.71263, 9.42358, 0.00906, 0.08127, 0.03357
112, 5213, 36.43061, 42.91965, 52.16781, 28.20434, -0.67995, 2.65756, 9.68095, 0.00799, 0.08180, 0.03357
113, 5254, 36.43061, 42.91965, 52.16781, 28.20434, -0.72305, 2.63242, 9.50618, 0.00626, 0.07594, 0.03371
114, 5295, 36.43061, 42.91965, 52.16781, 28.20434, -0.71347, 2.67672, 9.56723, 0.00839, 0.07954, 0.03344
115, 5336, 36.43061, 42.91965, 52.16781, 28.20434, -0.83079, 2.70186, 9.84496, 0.00266, 0.07061, 0.03517
116, 5377, 36.43061, 42.91965, 52.16781, 28.20434, -0.72425, 2.68629, 9.56244, 0.00426, 0.08807, 0.03051
117, 5431, 36.43061, 42.91965, 52.16781, 28.20434, -0.73502, 2.66235, 9.74440, 0.00640, 0.08447, 0.03331
118, 5470, 36.43061, 42.91965, 52.16781, 28.20434, -0.67636, 2.67432, 9.60314, 0.00640, 0.07528, 0.03304
119, 5510, 36.43061, 42.91965, 52.16781, 28.20434, -0.73263, 2.64918, 9.63906, 0.00813, 0.07927, 0.03437
120, 5550, 36.43061, 42.91965, 52.16781, 28.20434, -0.73143, 2.68151, 9.58279, 0.00666, 0.08047, 0.03384
121, 5593, 36.43061, 42.91965, 52.16781, 28.20434, -0.69552, 2.74974, 9.77912, 0.01159, 0.07967, 0.03158
122, 5633, 36.43061, 42.91965, 52.16781, 28.20434, -0.67636, 2.64559, 9.46189, 0.00879, 0.07994, 0.03291
123, 5673, 36.43061, 42.91965, 52.16781, 28.20434, -0.66439, 2.68749, 9.58519, 0.00653, 0.08074, 0.03384
124, 5713, 36.43061, 42.91965, 52.16781, 28.20434, -0.71228, 2.64918, 9.66420, 0.01039, 0.07834, 0.03198
125, 5753, 36.43061, 42.91965, 52.16781, 28.20434, -0.67756, 2.66355, 9.58399, 0.00733, 0.08234, 0.03437
126, 5796, 36.43061, 42.91965, 52.16781, 28.20434, -0.67636, 2.65397, 9.60075, 0.00759, 0.07994, 0.03357
127, 5836, 36.43061, 42.91965, 52.16781, 28.20434, -0.80325, 2.72580, 9.96227, 0.01319, 0.08553, 0.03437
128, 5876, 36.43061, 42.91965, 52.16781, 28.20434, -0.72425, 2.64559, 9.77792, 0.00866, 0.08553, 0.03184
129, 5916, 36.43061, 42.91965, 52.16781, 28.20434, -0.68714, 2.68031, 9.71567, 0.00613, 0.08207, 0.03317
130, 5956, 36.43061, 42.91965, 52.16781, 28.20434, -0.72425, 2.67672, 9.75637, 0.00733, 0.08340, 0.03104
131, 5999, 36.43061, 42.91965, 52.16781, 28.20434, -0.73502, 2.68989, 9.63906, 0.00746, 0.08287, 0.03224
132, 6039, 36.43061, 42.91965, 52.16781, 28.20434, -0.72664, 2.69228, 9.63068, 0.00653, 0.08207, 0.03397
133, 6079, 36.43061, 42.91965, 52.16781, 28.20434, -0.71946, 2.59891, 9.63786, 0.00746, 0.08047, 0.03531
134, 6119, 36.43061, 42.91965, 52.16781, 28.20434, -0.73143, 2.73059, 9.63666, 0.00853, 0.08007, 0.03384
135, 6159, 36.43061, 42.91965, 52.16781, 28.20434, -0.79128, 2.69587, 9.54568, 0.00919, 0.08047, 0.03424
136, 6202, 36.43061, 42.91965, 52.16781, 28.20434, -0.90740, 2.93649, 10.39802, -0.01066, 0.08540, 0.03344
137, 6242, 36.43061, 42.91965, 52.16781, 28.20434, -0.70868, 2.62405, 9.81982, 0.00107, 0.09566, 0.02971
138, 6282, 36.43061, 42.91965, 52.16781, 28.20434, -0.73023, 2.61447, 9.54808, 0.00413, 0.08434, 0.03304
139, 6322, 36.43061, 42.91965, 52.16781, 28.20434, -0.72185, 2.66834, 9.49301, 0.00946, 0.08327, 0.03344
140, 6362, 36.43061, 42.91965, 52.16781, 28.20434, -0.69073, 2.67313, 9.56364, 0.00626, 0.07981, 0.03411
141, 6405, 36.48170, 42.91965, 52.16781, 28.20434, -0.68833, 2.64559, 9.63307, 0.00839, 0.08167, 0.03291
142, 6445, 36.48170, 42.91965, 52.16781, 28.20434, -0.77452, 2.66594, 9.64863, 0.00706, 0.08074, 0.03357
143, 6485, 36.48170, 42.91965, 52.16781, 28.20434, -0.70030, 2.69587, 9.64265, 0.00679, 0.07834, 0.03451
144, 6525, 36.48170, 42.91965, 52.16781, 28.20434, -0.70390, 2.69108, 9.65342, 0.00919, 0.07914, 0.03198
145, 6565, 36.48170, 42.91965, 52.16781, 28.20434, -0.69791, 2.64918, 9.70370, 0.00799, 0.07887, 0.03464
146, 6608, 36.48170, 42.91965, 52.16781, 28.25543, -0.74340, 2.66594, 9.59117, 0.00693, 0.08060, 0.03357
147, 6648, 36.48170, 42.91965, 52.16781, 28.20434, -0.75178, 2.62764, 9.62589, 0.00719, 0.07834, 0.03397
148, 6688, 36.48170, 42.91965, 52.16781, 28.20434, -0.70749, 2.69348, 9.59596, 0.00906, 0.07807, 0.03397
149, 6728, 36.48170, 42.91965, 52.16781, 28.20434, -0.63925, 2.61567, 9.60434, 0.00759, 0.07887, 0.03557
150, 6771, 36.48170, 42.91965, 52.16781, 28.20434, -0.73981, 2.66235, 9.63906, 0.00853, 0.08074, 0.03371
151, 6811, 36.48170, 42.91965, 52.16781, 28.20434, -0.71467, 2.71383, 9.68574, 0.00933, 0.08060, 0.03238
152, 6851, 36.48170, 42.91965, 52.16781, 28.20434, -0.71228, 2.80720, 9.19613, 0.00226, 0.06462, 0.03637
153, 6891, 36.48170, 42.91965, 52.16781, 28.20434, -1.30604, 1.99796, 8.33541, 0.19598, -0.04303, 0.02585
154, 6931, 36.43061, 42.91965, 52.16781, 28.20434, 0.13527, 2.14401, 8.07085, 0.11511, 0.04064, 0.03810
155, 6983, 36.43061, 42.91965, 52.16781, 28.20434, -0.66319, 2.64320, 9.46308, 0.01319, 0.08700, 0.03131
156, 7024, 36.48170, 42.91965, 52.16781, 28.20434, -0.85114, 2.57736, 9.62110, -0.00613, 0.08287, 0.03264
157, 7065, 36.43061, 42.91965, 52.16781, 28.20434, -0.77452, 2.75213, 9.76834, 0.00386, 0.07621, 0.03451
158, 7106, 36.43061, 42.91965, 52.16781, 28.20434, -0.92536, 2.29125, 8.67539, -0.01879, 0.07554, 0.03517
159, 7147, 36.43061, 42.91965, 52.16781, 28.20434, -0.83917, 2.88022, 9.32901, -0.02491, 0.06542, 0.02305
160, 7191, 36.43061, 42.91965, 52.16781, 28.20434, -0.36512, 2.61926, 10.12747, -0.59581, 0.42394, -0.11711
161, 7232, 36.43061, 42.91965, 52.16781, 28.20434, -0.98881, 2.35829, 9.44273, 0.00959, 0.05249, 0.02838
162, 7273, 36.43061, 42.91965, 46.59847, 28.15324, -0.76495, 2.90656, 9.70490, 0.02118, 0.04277, 0.04197
163, 7314, 36.43061, 42.91965, 45.93424, 28.15324, -0.73741, 2.63721, 9.49301, 0.05622, 0.07408, 0.04583
164, 7355, 36.43061, 42.91965, 52.16781, 28.20434, -0.74101, 2.57257, 9.44153, 0.04357, 0.07341, 0.05196
165, 7399, 36.43061, 42.91965, 52.16781, 28.20434, -0.74460, 2.57736, 9.60554, 0.00493, 0.08620, 0.03371
166, 7440, 36.43061, 42.91965, 52.16781, 28.20434, -0.75776, 2.59651, 9.63307, 0.01013, 0.07181, 0.03704
167, 7481, 36.43061, 42.91965, 52.16781, 28.20434, -0.76734, 2.59412, 9.50259, 0.01239, 0.07847, 0.03451
168, 7522, 36.43061, 42.91965, 52.16781, 28.20434, -0.75896, 2.58095, 9.75278, 0.00999, 0.06888, 0.03824
169, 7563, 36.43061, 42.91965, 52.16781, 28.20434, -0.69312, 2.78206, 9.78510, 0.01772, 0.07914, 0.03491
170, 7607, 36.43061, 42.91965, 52.16781, 28.20434, -0.80804, 2.60968, 9.56484, 0.00493, 0.07621, 0.03118
171, 7648, 36.43061, 42.91965, 52.16781, 28.20434, -0.72425, 2.64559, 9.60793, 0.00933, 0.07794, 0.03357
172, 7689, 36.43061, 42.91965, 52.16781, 28.20434, -0.77572, 2.59771, 9.64624, 0.00773, 0.08047, 0.03211
173, 7730, 36.43061, 42.91965, 52.16781, 28.20434, -0.84396, 2.63242, 9.74799, 0.01346, 0.08593, 0.03238
174, 7774, 36.43061, 42.91965, 52.16781, 28.20434, -0.65481, 2.65637, 9.77672, 0.00120, 0.08966, 0.03091
175, 7815, 36.43061, 42.91965, 52.16781, 28.20434, -0.93374, 2.16077, 9.29190, 0.00653, 0.08327, 0.03104
176, 7856, 36.43061, 42.91965, 52.16781, 28.20434, -0.78530, 2.62165, 9.73842, 0.01319, 0.07421, 0.03491
177, 7897, 36.43061, 42.91965, 52.16781, 28.20434, -0.71108, 2.63123, 9.65103, 0.01359, 0.07847, 0.03464
178, 7938, 36.43061, 42.91965, 52.16781, 28.20434, -0.78290, 2.60968, 9.68215, 0.00959, 0.07887, 0.03317
179, 7982, 36.43061, 42.91965, 52.16781, 28.20434, -0.71706, 2.61567, 9.58878, 0.00906, 0.07807, 0.03357
180, 8023, 36.43061, 42.91965, 52.16781, 28.20434, -0.74460, 2.60609, 9.57920, 0.00786, 0.08060, 0.03198
181, 8064, 36.43061, 42.91965, 52.16781, 28.20434, -0.80924, 2.64440, 9.68095, 0.00759, 0.08300, 0.03171
182, 8105, 36.43061, 42.91965, 52.16781, 28.20434, -0.74579, 2.61447, 9.73482, 0.01359, 0.08194, 0.03357
183, 8146, 36.43061, 42.91965, 52.16781, 28.20434, -0.76255, 2.67193, 9.30866, 0.00586, 0.07341, 0.03317
184, 8190, 36.43061, 42.91965, 52.16781, 28.20434, -0.82480, 2.58933, 9.65941, 0.01159, 0.08434, 0.03411
185, 8231, 36.43061, 42.91965, 52.16781, 28.20434, -0.79607, 2.70904, 9.58040, 0.00959, 0.08420, 0.03091
186, 8272, 36.43061, 42.91965, 52.16781, 28.20434, -0.75657, 2.56898, 9.39724, 0.00333, 0.07594, 0.03491
187, 8313, 36.43061, 42.91965, 52.16781, 28.20434, -0.73741, 2.55820, 9.55287, 0.00946, 0.08154, 0.03384
188, 8354, 36.43061, 42.91965, 52.16781, 28.20434, -0.76614, 2.60369, 9.77193, 0.00919, 0.07914, 0.03464
189, 8398, 36.43061, 42.91965, 52.16781, 28.20434, -0.70868, 2.70186, 9.80665, 0.01239, 0.07914, 0.03504
190, 8439, 36.43061, 42.91965, 52.16781, 28.20434, -0.74819, 2.64918, 9.66060, 0.01146, 0.07661, 0.03371
191, 8480, 36.43061, 42.91965, 52.16781, 28.20434, -0.78889, 2.61567, 9.66180, 0.00799, 0.07781, 0.03411
192, 8521, 36.43061, 42.91965, 52.16781, 28.20434, -0.75776, 2.61926, 9.59955, 0.00799, 0.07941, 0.03344
193, 8562, 36.43061, 42.91965, 52.16781, 28.20434, -0.75776, 2.62165, 9.61751, 0.00946, 0.07927, 0.03411
194, 8616, 36.43061, 42.91965, 52.16781, 28.20434, -0.76375, 2.63721, 9.65462, 0.00866, 0.07981, 0.03304
195, 8657, 36.43061, 42.91965, 52.16781, 28.20434, -0.78650, 2.62524, 9.59835, 0.00733, 0.08167, 0.03424
196, 8698, 36.43061, 42.91965, 52.16781, 28.20434, -0.69552, 2.60010, 9.73004, 0.00706, 0.08047, 0.03504
197, 8747, 36.43061, 42.91965, 52.16781, 28.20434, -0.78769, 2.58574, 9.65941, 0.00999, 0.07954, 0.03424
198, 8788, 36.43061, 42.91965, 52.16781, 28.20434, -0.73981, 2.58454, 9.65462, 0.00906, 0.07927, 0.03224
199, 8832, 36.43061, 42.91965, 52.16781, 28.20434, -0.77213, 2.66116, 9.61033, 0.00786, 0.07994, 0.03224
200, 8873, 36.43061, 42.91965, 52.16781, 28.20434, -0.83677, 2.68749, 9.65462, 0.00626, 0.08034, 0.03491
201, 8914, 36.43061, 42.91965, 52.16781, 28.20434, -0.78769, 2.60250, 9.56962, 0.00986, 0.07887, 0.03557
202, 8955, 36.43061, 42.91965, 52.16781, 28.20434, -0.85114, 2.56419, 9.85453, 0.00160, 0.08487, 0.03091
203, 8999, 36.43061, 42.91965, 52.16781, 28.20434, -0.81523, 2.60729, 9.84496, 0.01319, 0.07834, 0.03331
204, 9040, 36.43061, 42.91965, 52.16781, 28.20434, -0.75537, 2.58813, 9.68694, 0.00973, 0.08034, 0.03371
205, 9081, 36.43061, 42.91965, 52.16781, 28.20434, -0.84635, 2.60010, 9.60793, 0.01159, 0.07621, 0.03557
206, 9122, 36.43061, 42.91965, 52.16781, 28.20434, -0.75896, 2.58694, 9.61871, 0.00586, 0.08060, 0.03317
207, 9163, 36.43061, 42.91965, 52.16781, 28.20434, -0.76854, 2.62045, 9.68694, 0.00893, 0.07941, 0.03304
208, 9207, 36.43061, 42.91965, 52.16781, 28.20434, -0.79009, 2.71143, 9.57082, 0.00946, 0.07901, 0.03277
209, 9248, 36.43061, 42.91965, 52.16781, 28.20434, -0.78530, 2.61926, 9.60673, 0.00440, 0.08314, 0.03011
210, 9289, 36.43061, 42.91965, 52.16781, 28.20434, -0.76614, 2.59651, 9.58399, 0.00306, 0.08207, 0.03224
